,30,60,90,180,360,data
163,0,-0.005330490405,-0.005753739931,0,-0.01288056206,2017-07-14
164,0,0,0,0,0,2017-07-15
165,0,0,0,0,0,2017-07-16
166,-0.01344364012,-0.00857449089,0,0,0,2017-07-17
167,-0.005241090147,0,0,-0.01096491228,-0.004744958482,2017-07-18
168,-0.005268703899,0,-0.01041666667,-0.0044345898,0,2017-07-19
169,0,-0.01189189189,-0.009356725146,-0.005567928731,0,2017-07-20
170,0,-0.003282275711,0,-0.002239641657,-0.01191895113,2017-07-21
171,0,0,0,0,0,2017-07-22
172,0,0,0,0,0,2017-07-23
173,-0.01377118644,-0.005488474204,0,0,0,2017-07-24
174,-0.00537056928,0,0,-0.006734006734,0,2017-07-25
175,-0.005399568035,0,-0.004722550177,-0.003389830508,0,2017-07-26
176,0,-0.01986754967,-0.02728351127,-0.01700680272,0,2017-07-27
177,0,-0.002252252252,-0.00487804878,-0.002306805075,-0.03980699638,2017-07-28
178,0,0,0,0,0,2017-07-29
179,0,0,0,0,0,2017-07-30
180,-0.007600434311,-0.003386004515,0,0,0.002512562814,2017-07-31
181,0.001094091904,0,0,-0.004624277457,-0.00626566416,2017-08-01
182,-0.001092896175,0,-0.003676470588,-0.002322880372,0,2017-08-02
183,0,-0.004530011325,-0.0049200492,-0.002328288708,0,2017-08-03
184,0,-0.002275312856,-0.001236093943,0,-0.00630517024,2017-08-04
185,0,0,0,0,0,2017-08-05
186,0,0,0,0,0,2017-08-06
187,-0.009846827133,-0.006841505131,0,0,0.002538071066,2017-08-07
188,0,0,0,-0.007001166861,-0.001265822785,2017-08-08
189,-0.005524861878,0,-0.003712871287,-0.002350176263,0,2017-08-09
190,0,-0.004592422503,0.00248447205,-0.002355712603,0,2017-08-10
191,0,-0.003460207612,-0.003717472119,-0.002361275089,-0.001267427123,2017-08-11
192,0,0,0,0,0,2017-08-12
193,0,0,0,0,0,2017-08-13
194,-0.01111111111,-0.003472222222,0,0,0,2017-08-14
195,-0.003370786517,0,0,-0.004733727811,0.001269035533,2017-08-15
196,-0.005636978579,0,0,-0.004756242568,0,2017-08-16
197,0,-0.005807200929,0,0,0,2017-08-17
198,0,-0.004672897196,-0.01243781095,-0.004778972521,-0.006337135615,2017-08-18
199,0,0,0,0,0,2017-08-19
200,0,0,0,0,0,2017-08-20
201,-0.01247165533,-0.005868544601,0,0,0,2017-08-21
202,-0.003444316877,0,0,-0.008403361345,0,2017-08-22
